UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Digital,OverDrive,EBOOK,2024,9,7,Steve Jobs,9781451648553,Walter Isaacson,"Biography & Autobiography, Business, Computer Technology, Nonfiction","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2024,9,9,The Book of (More) Delights: Essays,9781643755472,Ross Gay,"Biography & Autobiography, Literary Criticism, African American Nonfiction, Nonfiction","Hachette Digital, Inc.",2023,LGBT
Physical,Horizon,BOOK,2024,10,3,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"0307476073, 0307592731, 9780307476074, 9780307592736","Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Physical,Horizon,BOOK,2024,10,15,Between the world and me / Ta-Nehisi Coates.,"0812993543, 9780812993547","Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, White people United States Attitudes, United States Race relations","Spiegel & Grau,",c2015.,Treatment
Digital,OverDrive,EBOOK,2024,9,28,Wild: From Lost to Found on the Pacific Crest Trail,9780307957658,Cheryl Strayed,"Biography & Autobiography, Travel, Nonfiction","Random House, Inc.",2012,Control
Digital,OverDrive,EBOOK,2024,9,27,The Book of Delights: Essays,9781616208905,Ross Gay,"Biography & Autobiography, Literary Criticism, African American Nonfiction, Nonfiction","Hachette Digital, Inc.",2019,LGBT
Physical,Horizon,BOOK,2024,9,8,Untamed / Glennon Doyle.,"1984801252, 9781984801258","Doyle, Glennon, 1976-","Doyle Glennon 1976, Married women United States Biography, Wambach Abby 1980 Family, Lesbians United States Biography, Christian biography, Autobiographies","The Dial Press,",[2020],LGBT
Digital,OverDrive,EBOOK,2024,9,27,Sapiens: A Brief History of Humankind,9780062316103,Yuval Noah Harari,"History, Science, Nonfiction",HarperCollins Publishers Inc.,2015,Control
Digital,OverDrive,AUDIOBOOK,2024,10,19,"The New Jim Crow: Mass Incarceration in the Age of Colorblindness, 10th Anniversary Edition (unabridged)",9781464046162,Michelle Alexander,"Sociology, African American Nonfiction, Nonfiction","Recorded Books, LLC",2018,Treatment
Physical,Horizon,BOOK,2024,9,2,White fragility : why understanding racism can be so hard for white people : adapted for young adults / Robin DiAngelo ; adapted by Toni Graves Williamson and Ali Michael.,"0807007366, 0807016098, 1668832585, 9780807007365, 9780807016091, 9781668832585","DiAngelo, Robin, 1956-","Racism Juvenile literature, White people Juvenile literature, Race relations Juvenile literature, Young adult nonfiction, Adaptations","Beacon Press,",[2022],Treatment
Physical,Horizon,BOOK,2024,9,7,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,"1410459543, 9781410459541","Brown, Daniel James, 1951-","University of Washington Rowing History, Rowers United States Biography, Rowing United States History, Olympic Games 11th 1936 Berlin Germany, Large type books","Thorndike Press,",2013.,Control
Digital,OverDrive,AUDIOBOOK,2024,9,81,Between the World and Me (unabridged),9780147520517,Ta-Nehisi Coates,"Biography & Autobiography, Sociology, African American Nonfiction, Nonfiction",Books on Tape,2015,Treatment
Physical,Horizon,BOOK,2024,9,9,Between the world and me / Ta-Nehisi Coates.,"0812993543, 9780812993547","Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, White people United States Attitudes, United States Race relations","Spiegel & Grau,",c2015.,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,55,Untamed (unabridged),9780593156087,Glennon Doyle,"Biography & Autobiography, Self-Improvement, Nonfiction",Books on Tape,2020,LGBT
Digital,OverDrive,AUDIOBOOK,2024,9,2,Naturally Tan: A Memoir (unabridged),9781250211088,Tan France,"Biography & Autobiography, LGBTQIA+ (Nonfiction), Performing Arts, Nonfiction",Macmillan Audio,2019,LGBT
Physical,Horizon,BOOK,2024,9,1,Shortest way home : one mayor's challenge and a model for America's future / Pete Buttigieg.,"1631494368, 9781631494369","Buttigieg, Pete, 1982-","Buttigieg Pete 1982, Mayors Indiana South Bend Biography, South Bend Ind Politics and government, Urban renewal Indiana South Bend, Afghan War 2001 2021 Veterans Biography, Gay men Indiana Biography, South Bend Ind Biography","Liveright Publishing Corporation,",[2019],LGBT
Physical,Horizon,BOOK,2024,9,5,Steve Jobs / Walter Isaacson.,"1451648537, 9781451648539","Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Chief executive officers United States Biography","Simon & Schuster,",2011.,Control
Digital,OverDrive,AUDIOBOOK,2024,9,16,Bad Feminist: Essays (unabridged),9780062379764,Roxane Gay,"Essays, Sociology, Nonfiction, Humor (Nonfiction)",HarperCollins Publishers Inc.,2015,LGBT
Digital,OverDrive,EBOOK,2024,9,3,Welcome to the Universe: An Astrophysical Tour,9781400883226,Neil deGrasse Tyson,"Science, Physics, Nonfiction",Princeton University Press,2016,Control
Physical,Horizon,BOOK,2024,10,5,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,"1410459543, 9781410459541","Brown, Daniel James, 1951-","University of Washington Rowing History, Rowers United States Biography, Rowing United States History, Olympic Games 11th 1936 Berlin Germany, Large type books","Thorndike Press,",2013.,Control
Physical,Horizon,BOOK,2024,11,1,Naturally Tan / Tan France with Caroline Donofrio.,"1250208661, 9781250208668","France, Tan","France Tan, Television personalities United States Biography, Fashion designers United States Biography, Muslims United States Biography, Gay men United States Biography","St. Martin's Press,",2019.,LGBT
Digital,OverDrive,AUDIOBOOK,2024,9,4,Sapiens. De animales a dioses (Latino): Una breve historia de la humanidad (unabridged),9788499928265,Yuval Noah Harari,"History, Science, Sociology, Nonfiction","Penguin Random House Grupo Editorial, S.A.U.",2020,Control
Physical,Horizon,BOOK,2024,12,10,Between the world and me / Ta-Nehisi Coates.,"0812993543, 9780812993547","Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, White people United States Attitudes, United States Race relations","Spiegel & Grau,",c2015.,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,22,White Fragility: Why It's So Hard for White People to Talk About Racism (unabridged),9780807071168,Dr. Robin DiAngelo,"Family & Relationships, Self-Improvement, Sociology, Nonfiction",Books on Tape,2018,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,29,"The New Jim Crow: Mass Incarceration in the Age of Colorblindness, 10th Anniversary Edition (unabridged)",9781464046162,Michelle Alexander,"Sociology, African American Nonfiction, Nonfiction","Recorded Books, LLC",2018,Treatment
Digital,OverDrive,EBOOK,2024,9,15,White Fragility: Why It's So Hard for White People to Talk About Racism,9780807047422,Dr. Robin DiAngelo,"Family & Relationships, Multi-Cultural, Sociology, Nonfiction","Random House, Inc.",2018,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,48,When Breath Becomes Air (unabridged),9780399566196,Paul Kalanithi,"Biography & Autobiography, Philosophy, Sociology, Nonfiction",Books on Tape,2016,Control
Physical,Horizon,BOOK,2024,9,2,The rules do not apply : a memoir / Ariel Levy.,"0812996933, 9780812996937","Levy, Ariel, 1984-","Levy Ariel 1984, Levy Ariel Marriage, Women journalists United States Biography, Young women United States Biography, Miscarriage United States, Lesbians United States Biography, Sex role United States, Life change events United States","Random House,",c2017.,LGBT
Physical,Horizon,BOOK,2024,9,7,So you want to talk about race / Ijeoma Oluo.,"1580056776, 9781580056779","Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States","Seal Press,",2018.,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,11,The Book of (More) Delights: Essays (unabridged),9781668632697,Ross Gay,"Biography & Autobiography, Literary Criticism, African American Nonfiction, Nonfiction",Hachette Audio,2023,LGBT
Digital,OverDrive,EBOOK,2024,9,8,White Rage: The Unspoken Truth of Our Racial Divide,9781632864147,Carol Anderson,"History, Law, Sociology, Nonfiction",Bloomsbury US Trade,2016,Treatment
Digital,OverDrive,AUDIOBOOK,2024,9,4,Bettyville: A Memoir (unabridged),9781490659053,George Hodgman,"Biography & Autobiography, Family & Relationships, LGBTQIA+ (Nonfiction), Nonfiction","Recorded Books, LLC",2019,LGBT
Physical,Horizon,BOOK,2024,10,1,White fragility : why understanding racism can be so hard for white people : adapted for young adults / Robin DiAngelo ; adapted by Toni Graves Williamson and Ali Michael.,"0807007366, 0807016098, 1668832585, 9780807007365, 9780807016091, 9781668832585","DiAngelo, Robin, 1956-","Racism Juvenile literature, White people Juvenile literature, Race relations Juvenile literature, Young adult nonfiction, Adaptations","Beacon Press,",[2022],Treatment
Digital,OverDrive,EBOOK,2024,10,32,Wild: From Lost to Found on the Pacific Crest Trail,9780307957658,Cheryl Strayed,"Biography & Autobiography, Travel, Nonfiction","Random House, Inc.",2012,Control
Digital,OverDrive,AUDIOBOOK,2024,9,36,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (unabridged),9781494528942,Marie Kondo,"Home Design & Décor, Philosophy, Nonfiction","Tantor Media, Inc",2015,Control
Physical,Horizon,BOOK,2024,9,2,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,"1410487857, 9781410487858","Kalanithi, Paul","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Control
Digital,OverDrive,AUDIOBOOK,2024,9,6,Shortest Way Home: One Mayor's Challenge and a Model for America's Future (unabridged),9781684419326,Pete Buttigieg,"Biography & Autobiography, Politics, Nonfiction",HighBridge Company,2019,LGBT
Physical,Horizon,BOOK,2024,12,4,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,"0307476073, 0307592731, 9780307476074, 9780307592736","Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Physical,Horizon,BOOK,2024,9,1,"Me and white supremacy : combat racism, change the world, and become a good ancestor / Layla F. Saad.","1728209803, 9781728209807","Saad, Layla F.","White people, Racism, Race discrimination, Equality","Sourcebooks,",[2020],Treatment
Digital,OverDrive,EBOOK,2024,9,3,Hunger: A Memoir of (My) Body,9780062362605,Roxane Gay,"Biography & Autobiography, Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2017,LGBT
Physical,Horizon,BOOK,2024,1,6,So you want to talk about race / Ijeoma Oluo.,"1580056776, 9781580056779","Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States","Seal Press,",2018.,Treatment
Digital,OverDrive,AUDIOBOOK,2024,1,11,"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor (unabridged)",9781094135458,Layla F. Saad,"Self-Improvement, Sociology, Nonfiction","Blackstone Audio, Inc.",2020,Treatment
Physical,Horizon,BOOK,2024,1,3,Stamped from the beginning : the definitive history of racist ideas in America / Ibram X. Kendi.,"1645030393, 9781645030393","Kendi, Ibram X.","Racism United States History, African Americans Social conditions History, Race discrimination Political aspects United States, Race discrimination Economic aspects United States, United States Race relations, Biographies","Bold Type Books, an imprint of Perseus Books, LLC,",2023.,Treatment
Physical,Horizon,BOOK,2024,1,1,Steve Jobs / Walter Isaacson.,"1410445224, 9781410445223","Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Businesspeople United States Biography, Large type books","Thorndike Press,",2011.,Control
Physical,Horizon,BOOK,2024,1,1,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,"1410459543, 9781410459541","Brown, Daniel James, 1951-","University of Washington Rowing History, Rowers United States Biography, Rowing United States History, Olympic Games 11th 1936 Berlin Germany, Large type books","Thorndike Press,",2013.,Control
Digital,OverDrive,AUDIOBOOK,2024,1,51,Untamed (unabridged),9780593156087,Glennon Doyle,"Biography & Autobiography, Self-Improvement, Nonfiction",Books on Tape,2020,LGBT
Digital,OverDrive,EBOOK,2024,1,1,Shortest Way Home: One Mayor's Challenge and a Model for America's Future,9781631494376,Pete Buttigieg,"Biography & Autobiography, Politics, Nonfiction",W. W. Norton & Company,2019,LGBT
Digital,OverDrive,AUDIOBOOK,2024,1,69,Wild: From Lost to Found on the Pacific Crest Trail (unabridged),9780307970329,Cheryl Strayed,"Biography & Autobiography, Travel, Nonfiction",Books on Tape,2012,Control
Digital,OverDrive,AUDIOBOOK,2024,1,36,"The New Jim Crow: Mass Incarceration in the Age of Colorblindness, 10th Anniversary Edition (unabridged)",9781464046162,Michelle Alexander,"Sociology, African American Nonfiction, Nonfiction","Recorded Books, LLC",2018,Treatment
Digital,OverDrive,EBOOK,2024,1,14,Stamped from the Beginning: The Definitive History of Racist Ideas in America,9781568584645,Ibram X. Kendi,"History, Sociology, Nonfiction","Hachette Digital, Inc.",2016,Treatment
Physical,Horizon,BOOK,2024,1,12,In the dream house : a memoir / Carmen Maria Machado.,"1644450038, 9781644450031","Machado, Carmen Maria","Machado Carmen Maria, Women authors American 21st century Biography, Abused lesbians United States Biography, Lesbians United States Biography","Graywolf Press,",[2019],LGBT
