UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Physical,Horizon,BOOK,2023,1,4,So you want to talk about race / Ijeoma Oluo.,"1580056776, 9781580056779","Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States","Seal Press,",2018.,Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,34,In the Dream House: A Memoir (unabridged),9781684572793,Carmen Maria Machado,"Biography & Autobiography, LGBTQIA+ (Nonfiction), Nonfiction",HighBridge Company,2020,LGBT
Digital,OverDrive,AUDIOBOOK,2023,1,27,Bad Feminist: Essays (unabridged),9780062379764,Roxane Gay,"Essays, Sociology, Nonfiction, Humor (Nonfiction)",HarperCollins Publishers Inc.,2015,LGBT
Digital,OverDrive,AUDIOBOOK,2023,1,12,The Boys in the Boat (Young Readers Adaptation): The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics (unabridged),9781101925881,Daniel James Brown,"History, Juvenile Nonfiction, Sports & Recreations",Books on Tape,2018,Control
Digital,OverDrive,EBOOK,2023,1,3,Hunger: A Memoir of (My) Body,9780062362605,Roxane Gay,"Biography & Autobiography, Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2017,LGBT
Digital,OverDrive,EBOOK,2023,1,25,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,9781620971949,Michelle Alexander,"Law, Politics, Sociology, African American Nonfiction, Nonfiction",Lightning Source Inc,2020,Treatment
Digital,OverDrive,EBOOK,2023,1,4,The Art of War,9780465013272,Tzu Sun,"History, Military, Nonfiction","Hachette Digital, Inc.",2010,Control
Physical,Horizon,BOOK,2023,1,4,The boys in the boat : the true story of an American team's epic journey to win gold at the 1936 Olympics / Daniel James Brown ; adapted for young readers by Gregory Mone.,"0451475925, 9780451475923","Brown, Daniel James, 1951-","University of Washington Rowing History Juvenile literature, Olympic Games 11th 1936 Berlin Germany Juvenile literature, Rowing United States History Juvenile literature, Rowers United States Biography Juvenile literature","Viking, an imprint of Penguin Random House LLC,",2015.,Control
Physical,Horizon,BOOK,2023,1,1,Naturally Tan / Tan France with Caroline Donofrio.,"1250208661, 9781250208668","France, Tan","France Tan, Television personalities United States Biography, Fashion designers United States Biography, Muslims United States Biography, Gay men United States Biography","St. Martin's Press,",2019.,LGBT
Physical,Horizon,BOOK,2023,1,3,White fragility : why understanding racism can be so hard for white people : adapted for young adults / Robin DiAngelo ; adapted by Toni Graves Williamson and Ali Michael.,"0807007366, 0807016098, 1668832585, 9780807007365, 9780807016091, 9781668832585","DiAngelo, Robin, 1956-","Racism Juvenile literature, White people Juvenile literature, Race relations Juvenile literature, Young adult nonfiction, Adaptations","Beacon Press,",[2022],Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,30,"The New Jim Crow: Mass Incarceration in the Age of Colorblindness, 10th Anniversary Edition (unabridged)",9781464046162,Michelle Alexander,"Sociology, African American Nonfiction, Nonfiction","Recorded Books, LLC",2018,Treatment
Digital,OverDrive,EBOOK,2023,1,4,The Boys in the Boat: The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,9780698197596,Daniel James Brown,"History, Juvenile Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.",2017,Control
Digital,OverDrive,AUDIOBOOK,2023,1,11,"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor (unabridged)",9781094135458,Layla F. Saad,"Self-Improvement, Sociology, Nonfiction","Blackstone Audio, Inc.",2020,Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,21,Stamped from the Beginning: A Definitive History of Racist Ideas in America (unabridged),9781518940927,Ibram X. Kendi,"History, African American Nonfiction, Nonfiction",Author's Republic,2017,Treatment
Digital,OverDrive,EBOOK,2023,1,65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,9781607747314,Marie Kondo,"Home Design & Décor, Philosophy, Self-Improvement, Nonfiction","Random House, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2023,1,2,The Rules Do Not Apply: A Memoir (unabridged),9780525491965,Ariel Levy,"Biography & Autobiography, Psychology, Sociology, Nonfiction",Books on Tape,2017,LGBT
Physical,Horizon,BOOK,2023,1,5,The color of law : a forgotten history of how our government segregated America / Richard Rothstein.,"1631492853, 9781631492853","Rothstein, Richard","Segregation United States History 20th century, African Americans Segregation History 20th century, Discrimination in housing Government policy United States History 20th century, United States Race relations History 20th century","Liveright Publishing Corporation,",[2017],Treatment
Digital,OverDrive,EBOOK,2023,1,33,Untamed,9781984801265,Glennon Doyle,"Biography & Autobiography, Self-Improvement, Nonfiction","Random House, Inc.",2020,LGBT
Digital,OverDrive,AUDIOBOOK,2023,1,2,Bettyville: A Memoir (unabridged),9781490659053,George Hodgman,"Biography & Autobiography, Family & Relationships, LGBTQIA+ (Nonfiction), Nonfiction","Recorded Books, LLC",2019,LGBT
Digital,OverDrive,EBOOK,2023,1,30,Between the World and Me,9780679645986,Ta-Nehisi Coates,"Biography & Autobiography, Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2015,Treatment
Physical,Horizon,BOOK,2023,1,1,How to be an antiracist / Ibram X. Kendi.,"0593396804, 9780593396803","Kendi, Ibram X.","Anti racism United States, Racism Psychological aspects, Large type books, United States Race relations, Kendi Ibram X, Autobiographies","Random House Large Print,",[2020],Treatment
Digital,OverDrive,EBOOK,2023,1,1,The Rules Do Not Apply: A Memoir,9780812996944,Ariel Levy,"Biography & Autobiography, Psychology, Sociology, Nonfiction","Random House, Inc.",2017,LGBT
Physical,Horizon,BOOK,2023,1,2,Between the world and me / Ta-Nehisi Coates.,"1410485846, 9781410485847","Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, White people United States Attitudes, Large type books, United States Race relations","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Treatment
Digital,OverDrive,EBOOK,2023,1,36,Wild: From Lost to Found on the Pacific Crest Trail,9780307957658,Cheryl Strayed,"Biography & Autobiography, Travel, Nonfiction","Random House, Inc.",2012,Control
Digital,OverDrive,EBOOK,2023,1,4,Bad Feminist: Essays,9780062282729,Roxane Gay,"Essays, Sociology, Nonfiction, Humor (Nonfiction)",HarperCollins Publishers Inc.,2014,LGBT
Physical,Horizon,BOOK,2023,1,6,The new Jim Crow : mass incarceration in the age of colorblindness / Michelle Alexander.,"1620971933, 1620975459, 9781620971932, 9781620971949, 9781620975459","Alexander, Michelle","Racism in criminology United States, Criminal justice Administration of United States, Discrimination in criminal justice administration United States, African American prisoners United States, African American men Social conditions, Race discrimination United States, United States Race relations, African Americans Legal status laws etc, African Americans Segregation History, Law for laypersons, Instructional and educational works","New Press,",[2020],Treatment
Digital,OverDrive,EBOOK,2023,1,6,How to Win Friends and Influence People in the Digital Age,9781451629163,Dale Carnegie,"Business, Psychology, Self-Improvement, Nonfiction","Simon & Schuster, Inc.",2014,Control
Physical,Horizon,BOOK,2023,1,4,White fragility : why it's so hard for white people to talk about racism / Robin DiAngelo.,"0807047414, 9780807047415","DiAngelo, Robin, 1956-","Racism, White people, Race relations","Beacon Press,",[2018],Treatment
Physical,Horizon,BOOK,2023,1,3,Stamped from the beginning : the definitive history of racist ideas in America / Ibram X. Kendi.,"1568585985, 9781568585987","Kendi, Ibram X.","African Americans Social conditions History, Racism United States History, United States Race relations, Biographies","Nation Books,",2017.,Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,37,Hunger: A Memoir of (My) Body (unabridged),9780062470256,Roxane Gay,"Biography & Autobiography, Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2017,LGBT
Digital,OverDrive,EBOOK,2023,1,47,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,9781101622742,Daniel James Brown,"History, Sports & Recreations, Nonfiction","Penguin Group (USA), Inc.",2013,Control
Digital,OverDrive,EBOOK,2023,1,4,The Art of War: A New Translation by Michael Nylan,9781324004905,Sun Tzu,"Business, History, Military, Nonfiction",W. W. Norton & Company,2020,Control
Digital,OverDrive,EBOOK,2023,1,9,Stamped from the Beginning: The Definitive History of Racist Ideas in America,9781568584645,Ibram X. Kendi,"History, Sociology, Nonfiction","Hachette Digital, Inc.",2016,Treatment
Physical,Horizon,BOOK,2023,1,2,Me and white supremacy / Layla F. Saad.,"1728259088, 1728261287, 9781728259086, 9781728259109, 9781728261287","Saad, Layla F.","White nationalism Juvenile literature, Anti racism Juvenile literature, White people Juvenile literature, Privilege Social psychology Juvenile literature, Racism Juvenile literature, Race discrimination Juvenile literature, Equality Juvenile literature, White nationalism, Anti racism, White people, Privilege Social psychology, Racism, Race discrimination, Equality","Sourcebooks Explore,",[2022],Treatment
Digital,OverDrive,EBOOK,2023,1,2,How to Be an Antiracist: »Das bisher mutigste Buch über Rassismus im westlichen Denken.« The New York Times--Deutsche Ausgabe,9783641256432,Ibram X. Kendi,"Sociology, Nonfiction",Penguin Random House Verlagsgruppe GmbH,2020,Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,43,Between the World and Me (unabridged),9780147520517,Ta-Nehisi Coates,"Biography & Autobiography, Sociology, African American Nonfiction, Nonfiction",Books on Tape,2015,Treatment
Digital,OverDrive,AUDIOBOOK,2023,1,5,The Art of War (unabridged),9781622030026,Sun Tzu,"Business, Finance, Nonfiction","Sounds True, Inc",2007,Control
Digital,OverDrive,AUDIOBOOK,2023,1,3,The Art of War (unabridged),9781400128419,Sun Tzu,"History, Philosophy, Military, Nonfiction","Tantor Media, Inc",2007,Control
Digital,OverDrive,EBOOK,2023,1,1,Sapiens. De animales a dioses: Una breve historia de la humanidad,9788499924748,Yuval Noah Harari,"History, Science, Sociology, Nonfiction","Penguin Random House Grupo Editorial, S.A.U.",2020,Control
Digital,OverDrive,AUDIOBOOK,2023,1,41,How to Win Friends and Influence People: Updated For the Next Generation of Leaders (unabridged),9781797140834,Dale Carnegie,"Business, Psychology, Nonfiction, Self Help",Simon & Schuster - Audiobooks,2022,Control
Digital,OverDrive,EBOOK,2023,1,3,Sapiens. Una historia gráfica (volumen I): El nacimiento de la humanidad,9788418006937,Yuval Noah Harari,"History, Reference, Sociology, Nonfiction","Penguin Random House Grupo Editorial, S.A.U.",2021,Control
Digital,OverDrive,EBOOK,2023,1,38,Sapiens: A Brief History of Humankind,9780062316103,Yuval Noah Harari,"History, Science, Nonfiction",HarperCollins Publishers Inc.,2015,Control
