UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Physical,Horizon,BOOK,2022,1,1,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,NA,"Brown, Daniel James, 1951-","University of Washington Rowing History, Rowers United States Biography, Rowing United States History, Olympic Games 11th 1936 Berlin Germany, Large type books","Thorndike Press,",2013.,Control
Digital,OverDrive,EBOOK,2022,1,14,In the Dream House: A Memoir,NA,Carmen Maria Machado,"Biography & Autobiography, LGBTQIA+ (Nonfiction), Nonfiction",Macmillan Publishers,2019,LGBT
Digital,OverDrive,AUDIOBOOK,2022,1,14,Naturally Tan: A Memoir (unabridged),NA,Tan France,"Biography & Autobiography, LGBTQIA+ (Nonfiction), Performing Arts, Nonfiction",Macmillan Audio,2019,LGBT
Digital,OverDrive,EBOOK,2022,1,1,Bettyville: A Memoir,NA,George Hodgman,"Biography & Autobiography, Family & Relationships, LGBTQIA+ (Nonfiction), Nonfiction","Penguin Group (USA), Inc.",2015,LGBT
Digital,OverDrive,AUDIOBOOK,2022,1,12,Steve Jobs (unabridged),NA,Walter Isaacson,"Biography & Autobiography, Technology, Nonfiction","Recorded Books, LLC",2015,Control
Digital,OverDrive,AUDIOBOOK,2022,1,39,In the Dream House: A Memoir (unabridged),NA,Carmen Maria Machado,"Biography & Autobiography, LGBTQIA+ (Nonfiction), Nonfiction",HighBridge Company,2020,LGBT
Physical,Horizon,BOOK,2022,1,14,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Digital,OverDrive,EBOOK,2022,1,12,White Rage: The Unspoken Truth of Our Racial Divide,NA,Carol Anderson,"History, Law, Sociology, Nonfiction",Bloomsbury USA,2016,Treatment
Digital,OverDrive,EBOOK,2022,1,18,How to Win Friends and Influence People,NA,Dale Carnegie,"Business, Psychology, Nonfiction, Self Help","Simon & Schuster, Inc.",2014,Control
Physical,Horizon,BOOK,2022,1,1,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Large type books, Pacific Crest Trail Description and travel","Thorndike Press,",2013.,Control
